ImageIndex,Date,PixelIndex,Latitude,Longitude,Band1,Band2,Band3,Band4,Fire_binary
438,2021-05,257,-12.508366594901247,-76.69011903633186,921.0,1176.0,1389.0,1809.0,0
438,2021-05,258,-12.508366594901247,-76.69007412056766,924.0,1161.0,1361.0,1842.0,0
438,2021-05,259,-12.508366594901247,-76.69002920480345,936.0,1156.0,1356.0,1895.0,0
438,2021-05,260,-12.508366594901247,-76.68998428903924,928.0,1158.0,1372.0,1893.0,0
438,2021-05,261,-12.508366594901247,-76.68993937327504,956.0,1157.0,1389.0,1800.0,0
438,2021-05,262,-12.508366594901247,-76.68989445751085,952.0,1149.0,1398.0,1710.0,0
438,2021-05,263,-12.508366594901247,-76.68984954174664,928.0,1143.0,1363.0,1694.0,0
438,2021-05,264,-12.508366594901247,-76.68980462598243,907.0,1106.0,1322.0,1720.0,0
438,2021-05,265,-12.508366594901247,-76.68975971021823,892.0,1073.0,1313.0,1728.0,0
438,2021-05,266,-12.508366594901247,-76.68971479445402,872.0,1078.0,1320.0,1709.0,0
438,2021-05,267,-12.508366594901247,-76.68966987868981,887.0,1124.0,1350.0,1664.0,0
438,2021-05,268,-12.508366594901247,-76.6896249629256,938.0,1173.0,1373.0,1606.0,0
438,2021-05,269,-12.508366594901247,-76.6895800471614,972.0,1198.0,1396.0,1563.0,0
438,2021-05,270,-12.508366594901247,-76.6895351313972,976.0,1181.0,1378.0,1527.0,0
438,2021-05,271,-12.508366594901247,-76.68949021563299,952.0,1153.0,1342.0,1493.0,0
438,2021-05,272,-12.508366594901247,-76.68944529986878,931.0,1146.0,1317.0,1462.0,0
438,2021-05,273,-12.508366594901247,-76.68940038410457,921.0,1100.0,1283.0,1427.0,0
438,2021-05,274,-12.508366594901247,-76.68935546834037,868.0,1048.0,1187.0,1340.0,0
438,2021-05,275,-12.508366594901247,-76.68931055257616,851.0,1024.0,1154.0,1302.0,0
438,2021-05,276,-12.508366594901247,-76.68926563681195,839.0,1014.0,1117.0,1269.0,0
438,2021-05,277,-12.508366594901247,-76.68922072104775,833.0,989.0,1074.0,1227.0,0
438,2021-05,278,-12.508366594901247,-76.68917580528354,814.0,956.0,1053.0,1172.0,0
438,2021-05,279,-12.508366594901247,-76.68913088951933,794.0,935.0,1038.0,1123.0,0
438,2021-05,280,-12.508366594901247,-76.68908597375513,785.0,937.0,1013.0,1097.0,0
438,2021-05,281,-12.508366594901247,-76.68904105799092,797.0,937.0,997.0,1101.0,0
438,2021-05,282,-12.508366594901247,-76.68899614222671,796.0,923.0,997.0,1114.0,0
438,2021-05,283,-12.508366594901247,-76.6889512264625,772.0,913.0,985.0,1110.0,0
438,2021-05,284,-12.508366594901247,-76.68890631069831,764.0,903.0,980.0,1106.0,0
438,2021-05,285,-12.508366594901247,-76.68886139493411,760.0,910.0,988.0,1078.0,0
438,2021-05,286,-12.508366594901247,-76.6888164791699,760.0,920.0,1005.0,1053.0,0
438,2021-05,287,-12.508366594901247,-76.6887715634057,787.0,920.0,1030.0,1071.0,0
